X,Y,Z,formation,series,formation number
618329.1604945172,2475476.5882322327,451.0,Unit2,Default series,2
618368.7265452263,2475545.5213645496,480.0,Unit2,Default series,2
618373.440067979,2475598.3884082255,489.0,Unit2,Default series,2
618458.612460297,2475719.6701983972,522.0,Unit2,Default series,2
618524.3342975416,2475747.107332281,499.0,Unit2,Default series,2
618582.7646359492,2475719.965353287,492.0,Unit2,Default series,2
618627.6867463745,2475776.385942033,485.0,Unit2,Default series,2
618694.7094273012,2475788.936454691,469.0,Unit2,Default series,2
618753.3551071096,2475725.982124804,436.0,Unit2,Default series,2
618817.0912688806,2475761.448387415,444.0,Unit2,Default series,2
618847.5676744507,2475816.3409975017,448.0,Unit2,Default series,2
618891.2493137838,2475857.8582306053,443.0,Unit2,Default series,2
618923.592432033,2475909.3640375263,460.0,Unit2,Default series,2
618971.0970291027,2475979.391882752,447.0,Unit2,Default series,2
618965.6031679705,2476061.135718323,475.0,Unit2,Default series,2
618912.2166887928,2476102.6749388436,490.0,Unit2,Default series,2
618908.4097297633,2476158.736473912,518.0,Unit2,Default series,2
618935.0412289072,2476200.3238163623,529.0,Unit2,Default series,2
618922.3989953648,2476246.8564368044,541.0,Unit2,Default series,2
618973.5585720338,2476271.9359438573,526.0,Unit2,Default series,2
618977.5077046253,2476332.9974348755,524.0,Unit2,Default series,2
618963.1052124194,2476379.0430003568,532.0,Unit2,Default series,2
618966.8902411759,2476415.068598131,539.0,Unit2,Default series,2
618962.1516482537,2476495.298231255,532.0,Unit2,Default series,2
618884.4910179697,2476622.462968431,512.0,Unit2,Default series,2
618892.2764427955,2476671.1602112763,548.0,Unit2,Default series,2
618856.7756873132,2476724.9463103437,583.0,Unit2,Default series,2
618796.8056050958,2476751.374860342,575.0,Unit2,Default series,2
618722.705603175,2476814.4099711166,580.0,Unit2,Default series,2
618612.9726540841,2476913.3864164953,566.0,Unit2,Default series,2
618625.8806439985,2476958.6001064065,586.0,Unit2,Default series,2
618544.0016392524,2476983.054962359,580.0,Unit2,Default series,2
618444.6467041343,2476944.92147867,568.0,Unit2,Default series,2
618302.3455723351,2476933.1129516247,557.0,Unit2,Default series,2
618319.6686071286,2477032.0375463394,525.0,Unit2,Default series,2
618405.4970946391,2477122.135633678,487.0,Unit2,Default series,2
618457.387926034,2477272.115963993,446.0,Unit2,Default series,2
618483.9029914555,2477375.999700876,425.0,Unit2,Default series,2
618482.0064420467,2477385.365437853,425.0,Unit2,Default series,2
618486.9867078942,2477500.97540346,417.0,Unit2,Default series,2
618526.9576355589,2477613.671538686,398.0,Unit2,Default series,2
618538.408838619,2477671.7320548897,396.0,Unit2,Default series,2
618578.3205971431,2477692.151795844,396.0,Unit2,Default series,2
618571.8215653494,2477698.055741731,395.0,Unit2,Default series,2
618533.7877653621,2477752.9045636104,398.0,Unit2,Default series,2
618502.83215901,2477801.6413264773,399.0,Unit2,Default series,2
618456.447517826,2477893.131825052,394.0,Unit2,Default series,2
618474.2835664938,2478014.2892077505,397.0,Unit2,Default series,2
618455.684796504,2478089.2092944416,392.0,Unit2,Default series,2
618454.3993389428,2478172.9250585847,388.0,Unit2,Default series,2
618426.0851828422,2478281.9954555966,385.0,Unit2,Default series,2
618343.347904092,2478403.345728954,379.0,Unit2,Default series,2
618246.3468906799,2478388.5452672862,426.0,Unit2,Default series,2
618102.8894251413,2478273.396881742,523.0,Unit2,Default series,2
618054.8078240622,2478222.0985908625,550.0,Unit2,Default series,2
617998.1162707505,2478132.186192197,589.0,Unit2,Default series,2
617991.6320437759,2478045.942316244,588.0,Unit2,Default series,2
